Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,CVX,GM,NKE,TSLA,AAPL,AMZN,CVX,GM,NKE,TSLA,AAPL,AMZN,CVX,GM,NKE,TSLA,AAPL,AMZN,CVX,GM,NKE,TSLA,AAPL,AMZN,CVX,GM,NKE,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,24.26104736328125,15.425999641418457,70.99368286132812,26.952733993530273,41.64569854736328,14.620667457580566,24.729270393437197,15.737500190734863,71.25853644387814,27.316333816227313,42.487113531920826,14.883333206176758,23.821671579713147,15.347999572753906,69.90273146966366,26.620079464489496,41.242520951865195,14.21733283996582,24.718174386973395,15.628999710083008,70.39460378329824,27.285388522571047,42.311821251085796,14.857999801635742,212818400,55664000,5898800,9756700,4985800,71466000
2015-01-05,23.577571868896484,15.10949993133545,68.15592956542969,26.558191299438477,40.975189208984375,14.005999565124512,24.110147948537623,15.418999671936035,70.12341812805863,27.269915332726477,41.43533973000884,14.433333396911621,23.391171172179064,15.042499542236328,67.75234192124199,26.357049845783642,40.813040197764664,13.810667037963867,24.03026145194082,15.350500106811523,69.9720739642743,27.061039031364416,41.41780983608086,14.303333282470703,257142000,55484000,11758100,16223000,6889200,80527500
2015-01-06,23.579792022705078,14.76449966430664,68.12442779541016,26.960466384887695,40.73416519165039,14.085332870483398,23.83942229690088,15.149999618530273,68.74872695999464,27.24670589846898,41.260052080311716,14.279999732971191,23.218083238966898,14.619000434875488,67.14699048700356,26.380255461674,40.34851748142092,13.61400032043457,23.64192558989593,15.112000465393066,68.02353324480943,26.620077039000257,41.146109419578856,14.003999710083008,263188400,70380000,11591600,17747600,7576000,93928500
2015-01-07,23.91044044494629,14.920999526977539,68.06768798828125,27.726348876953125,41.575584411621094,14.063332557678223,24.0102977556781,15.064000129699707,69.1964745461933,27.8114469597182,41.764026632210175,14.3186674118042,23.677437795887663,14.766500473022461,67.79652691782029,27.107457753805754,40.7999023213064,13.985333442687988,23.788391115817806,14.875,68.89378121662052,27.25444347333274,41.0234043372344,14.223333358764648,160423600,52806000,10353800,19319200,7256000,44526000
2015-01-08,24.829130172729492,15.02299976348877,69.62528228759766,28.004854202270508,42.535316467285156,14.041333198547363,24.886826364711517,15.156999588012695,69.64419971724669,28.198257887436593,42.55284636264611,14.25333309173584,24.12124755318299,14.805500030517578,68.48388098358747,27.695407125562355,41.90425695171911,14.000666618347168,24.238859477265255,15.015999794006348,68.85594140755727,27.896548610754465,41.92178684708007,14.187333106994629,237458000,61768000,8650800,15206600,5978200,51637500
2015-01-09,24.855758666992188,14.846500396728516,68.2379150390625,27.53295135498047,42.06640625,13.77733325958252,25.130922376139836,15.143500328063965,69.5054351958029,28.136369965692765,42.50464364125092,13.998666763305664,24.456326110960923,14.833999633789062,67.89738702033472,27.393700452338198,41.89549393489102,13.663999557495117,25.002216142194985,15.074000358581543,69.45498553129254,28.012591713467003,42.47835046769138,13.928000450134277,214798000,51848000,9584500,14690600,4689000,70024500
2015-01-12,24.243295669555664,14.570500373840332,66.76860809326172,27.726348876953125,42.00942611694336,13.480667114257812,24.993339356300723,14.92549991607666,67.77127483402768,27.803709160681926,42.29866098443006,13.631333351135254,24.1434383783279,14.46399974822998,66.56681422503425,27.440112285829777,41.733337832958085,13.283332824707031,24.98668242928727,14.878000259399414,67.77127483402768,27.703141382055616,42.03133931843581,13.536666870117188,198603200,68428000,8912300,10656700,5630800,89254500
2015-01-13,24.458547592163086,14.737000465393066,65.70922088623047,27.26991844177246,41.63694381713867,13.616666793823242,25.03106707024186,15.074999809265137,67.89112445713239,28.159576535918042,42.70624099235788,13.840666770935059,24.167850465710284,14.661499977111816,65.07231153798426,26.828958294547167,41.47041143528254,13.394000053405762,24.72705439552256,14.87399959564209,67.42447200193612,27.91202006558475,42.21979712317525,13.554667472839355,268367600,82728000,13277700,21893500,6182200,67159500
2015-01-14,24.365339279174805,14.66349983215332,65.52000427246094,26.534984588623047,41.06723403930664,12.845999717712402,24.518453643730982,14.795499801635742,65.84161487548351,26.74386091938224,41.35647238231647,13.013333320617676,24.07686009393188,14.324999809265137,64.21464924977506,25.98571883983369,40.71664605977895,12.333333015441895,24.19668983120144,14.596500396728516,65.07857691688889,26.581402534715977,40.92261486780173,12.388667106628418,195826400,110774000,14116900,27901300,6750400,173278500
2015-01-15,23.70406150817871,14.34749984741211,64.7443618774414,25.861936569213867,40.672794342041016,12.791333198547363,24.423038374576155,14.800000190734863,66.1758411868859,26.975940541805425,41.492299127425426,13.050000190734863,23.668557334696477,14.340999603271484,64.65607736095487,25.82325642905339,40.56761834794119,12.666666984558105,24.409724521146927,14.699999809265137,65.84162054430895,26.90631510907436,41.47038592955754,12.965999603271484,240056000,88384000,9664600,19437400,4235000,78247500
2015-01-16,23.519878387451172,14.536999702453613,66.28936004638672,26.055349349975586,40.751686096191406,12.871333122253418,23.872710736727925,14.53950023651123,66.3019700600598,26.140447458807255,40.81303905147343,12.965999603271484,23.3445719827557,14.262499809265137,64.61825178266312,25.738167367761722,40.33097868419238,12.643333435058594,23.750661438201686,14.314000129699707,64.61825178266312,25.76911267117443,40.65527335403814,12.713333129882812,314053200,69564000,12604600,17780000,8770000,54048000
2015-01-20,24.12568473815918,14.472000122070312,67.14068603515625,26.248746871948242,41.02339553833008,12.795332908630371,24.181161385664875,14.668000221252441,67.21005314663003,26.31063451305456,41.146101452211624,12.941332817077637,23.633051837426528,14.319499969482422,65.46327015573083,25.800048931727517,40.58954153039593,12.469332695007324,23.930405855410857,14.629500389099121,65.93622510969936,26.225539375421608,40.948895996828476,12.924667358398438,199599600,61502000,10406800,12052500,9403800,67548000
2015-01-21,24.309864044189453,14.862500190734863,68.20641326904297,26.217803955078125,40.97956848144531,13.104666709899902,24.644941726946904,15.300000190734863,68.27577556991055,26.39573499717639,41.251273451849784,13.245332717895508,24.02582222854224,14.36299991607666,67.06501203299356,25.931567317885793,40.76044984415909,12.633999824523926,24.176718755318422,14.482000350952148,67.34248048105036,26.163651157531092,40.804272902919315,12.636667251586914,194303600,201302000,8271000,14349900,5854000,62295000
